epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,20894.8,1.18796,0.83099,0.9932,0.37797,0.39986,0.33452,0.18258,1.76093,1.8227,1.62834,0.00406,0.00406,0.00406
62,21221.8,1.17492,0.82013,0.98773,0.39249,0.43422,0.35626,0.19713,1.76497,1.80769,1.61441,0.003961,0.003961,0.003961
63,21549.3,1.17194,0.81842,0.98803,0.38444,0.42176,0.34474,0.1941,1.75964,1.82939,1.61675,0.003862,0.003862,0.003862
64,21876.1,1.16537,0.80592,0.98234,0.37334,0.38099,0.34455,0.19024,1.75386,1.82871,1.60926,0.003763,0.003763,0.003763
65,22203.5,1.15339,0.79944,0.9811,0.41306,0.37462,0.34598,0.18894,1.80028,1.89432,1.64193,0.003664,0.003664,0.003664
66,22531.1,1.14384,0.78877,0.97908,0.42442,0.41739,0.34462,0.18746,1.77803,1.88932,1.63528,0.003565,0.003565,0.003565
67,22858.6,1.14358,0.78805,0.97661,0.46145,0.39111,0.35078,0.19392,1.76226,1.86089,1.62594,0.003466,0.003466,0.003466
68,23186,1.13282,0.77779,0.97317,0.42215,0.38307,0.33916,0.1909,1.78925,1.88615,1.62965,0.003367,0.003367,0.003367
69,23514,1.12472,0.77848,0.97636,0.42372,0.38169,0.32898,0.18373,1.75305,1.87293,1.60319,0.003268,0.003268,0.003268
70,23841.9,1.12134,0.76943,0.97206,0.43264,0.36729,0.3363,0.18624,1.75639,1.84873,1.60419,0.003169,0.003169,0.003169
71,24170.4,1.1151,0.75277,0.96614,0.39293,0.40504,0.33938,0.18664,1.74564,1.84917,1.59356,0.00307,0.00307,0.00307
72,24498,1.10493,0.75891,0.96983,0.45317,0.32054,0.33947,0.18475,1.74648,1.85156,1.601,0.002971,0.002971,0.002971
73,24826.2,1.09791,0.74766,0.96281,0.43298,0.36415,0.34197,0.18805,1.77494,1.89339,1.62112,0.002872,0.002872,0.002872
74,25153.4,1.09796,0.745,0.96526,0.41745,0.39271,0.33829,0.18477,1.77242,1.91546,1.62214,0.002773,0.002773,0.002773
75,25480.4,1.07844,0.73331,0.95914,0.49977,0.33478,0.3456,0.18983,1.76172,1.92698,1.612,0.002674,0.002674,0.002674
76,25808.1,1.07325,0.71937,0.95229,0.44641,0.40424,0.35741,0.19376,1.75389,1.9388,1.59153,0.002575,0.002575,0.002575
77,26135.9,1.06744,0.72137,0.95145,0.46283,0.3623,0.34101,0.18641,1.7524,1.97287,1.60718,0.002476,0.002476,0.002476
78,26463.5,1.06138,0.71016,0.95068,0.40938,0.39347,0.34232,0.18902,1.76149,1.96617,1.62282,0.002377,0.002377,0.002377
79,26791.2,1.05624,0.71051,0.95103,0.41846,0.37758,0.32879,0.18145,1.76622,1.9697,1.63912,0.002278,0.002278,0.002278
80,27119.4,1.04777,0.69922,0.94638,0.43808,0.36696,0.32737,0.18019,1.77602,1.93129,1.64803,0.002179,0.002179,0.002179
81,27447.9,1.04686,0.70269,0.9454,0.44526,0.36632,0.33837,0.18637,1.78006,1.90845,1.65324,0.00208,0.00208,0.00208
82,27775.7,1.0322,0.69959,0.94624,0.45041,0.35833,0.34005,0.18623,1.77575,1.92374,1.64884,0.001981,0.001981,0.001981
83,28103.1,1.02309,0.68419,0.94016,0.46328,0.35271,0.33814,0.18584,1.7643,1.93623,1.64784,0.001882,0.001882,0.001882
84,28430.4,1.02729,0.67721,0.9419,0.48513,0.34282,0.34431,0.18878,1.77306,1.94219,1.64349,0.001783,0.001783,0.001783
85,28758.8,1.019,0.67967,0.93845,0.49812,0.33307,0.34528,0.19,1.77362,1.94089,1.63775,0.001684,0.001684,0.001684
86,29086.4,1.00379,0.67035,0.93808,0.42505,0.385,0.345,0.1898,1.76898,1.9533,1.63809,0.001585,0.001585,0.001585
